Genre,Age,Annual Income (k$),Spending Score (1-100),Cluster,Customer Segment
Male,19,15,39,2,Young High-Spending Customers
Male,21,15,81,2,Young High-Spending Customers
Female,20,16,6,2,Young High-Spending Customers
Female,23,16,77,2,Young High-Spending Customers
Female,31,17,40,2,Young High-Spending Customers
Female,22,17,76,2,Young High-Spending Customers
Female,35,18,6,0,Older Medium-Spending Customers
Female,23,18,94,2,Young High-Spending Customers
Male,64,19,3,0,Older Medium-Spending Customers
Female,30,19,72,2,Young High-Spending Customers
Male,67,19,14,0,Older Medium-Spending Customers
Female,35,19,99,2,Young High-Spending Customers
Female,58,20,15,0,Older Medium-Spending Customers
Female,24,20,77,2,Young High-Spending Customers
Male,37,20,13,0,Older Medium-Spending Customers
Male,22,20,79,2,Young High-Spending Customers
Female,35,21,35,2,Young High-Spending Customers
Male,20,21,66,2,Young High-Spending Customers
Male,52,23,29,0,Older Medium-Spending Customers
Female,35,23,98,2,Young High-Spending Customers
Male,35,24,35,2,Young High-Spending Customers
Male,25,24,73,2,Young High-Spending Customers
Female,46,25,5,0,Older Medium-Spending Customers
Male,31,25,73,2,Young High-Spending Customers
Female,54,28,14,0,Older Medium-Spending Customers
Male,29,28,82,2,Young High-Spending Customers
Female,45,28,32,0,Older Medium-Spending Customers
Male,35,28,61,2,Young High-Spending Customers
Female,40,29,31,0,Older Medium-Spending Customers
Female,23,29,87,2,Young High-Spending Customers
Male,60,30,4,0,Older Medium-Spending Customers
Female,21,30,73,2,Young High-Spending Customers
Male,53,33,4,0,Older Medium-Spending Customers
Male,18,33,92,2,Young High-Spending Customers
Female,49,33,14,0,Older Medium-Spending Customers
Female,21,33,81,2,Young High-Spending Customers
Female,42,34,17,0,Older Medium-Spending Customers
Female,30,34,73,2,Young High-Spending Customers
Female,36,37,26,0,Older Medium-Spending Customers
Female,20,37,75,2,Young High-Spending Customers
Female,65,38,35,0,Older Medium-Spending Customers
Male,24,38,92,2,Young High-Spending Customers
Male,48,39,36,0,Older Medium-Spending Customers
Female,31,39,61,2,Young High-Spending Customers
Female,49,39,28,0,Older Medium-Spending Customers
Female,24,39,65,2,Young High-Spending Customers
Female,50,40,55,0,Older Medium-Spending Customers
Female,27,40,47,2,Young High-Spending Customers
Female,29,40,42,2,Young High-Spending Customers
Female,31,40,42,2,Young High-Spending Customers
Female,49,42,52,0,Older Medium-Spending Customers
Male,33,42,60,2,Young High-Spending Customers
Female,31,43,54,2,Young High-Spending Customers
Male,59,43,60,0,Older Medium-Spending Customers
Female,50,43,45,0,Older Medium-Spending Customers
Male,47,43,41,0,Older Medium-Spending Customers
Female,51,44,50,0,Older Medium-Spending Customers
Male,69,44,46,0,Older Medium-Spending Customers
Female,27,46,51,2,Young High-Spending Customers
Male,53,46,46,0,Older Medium-Spending Customers
Male,70,46,56,0,Older Medium-Spending Customers
Male,19,46,55,2,Young High-Spending Customers
Female,67,47,52,0,Older Medium-Spending Customers
Female,54,47,59,0,Older Medium-Spending Customers
Male,63,48,51,0,Older Medium-Spending Customers
Male,18,48,59,2,Young High-Spending Customers
Female,43,48,50,0,Older Medium-Spending Customers
Female,68,48,48,0,Older Medium-Spending Customers
Male,19,48,59,2,Young High-Spending Customers
Female,32,48,47,2,Young High-Spending Customers
Male,70,49,55,0,Older Medium-Spending Customers
Female,47,49,42,0,Older Medium-Spending Customers
Female,60,50,49,0,Older Medium-Spending Customers
Female,60,50,56,0,Older Medium-Spending Customers
Male,59,54,47,0,Older Medium-Spending Customers
Male,26,54,54,2,Young High-Spending Customers
Female,45,54,53,0,Older Medium-Spending Customers
Male,40,54,48,0,Older Medium-Spending Customers
Female,23,54,52,2,Young High-Spending Customers
Female,49,54,42,0,Older Medium-Spending Customers
Male,57,54,51,0,Older Medium-Spending Customers
Male,38,54,55,2,Young High-Spending Customers
Male,67,54,41,0,Older Medium-Spending Customers
Female,46,54,44,0,Older Medium-Spending Customers
Female,21,54,57,2,Young High-Spending Customers
Male,48,54,46,0,Older Medium-Spending Customers
Female,55,57,58,0,Older Medium-Spending Customers
Female,22,57,55,2,Young High-Spending Customers
Female,34,58,60,2,Young High-Spending Customers
Female,50,58,46,0,Older Medium-Spending Customers
Female,68,59,55,0,Older Medium-Spending Customers
Male,18,59,41,2,Young High-Spending Customers
Male,48,60,49,0,Older Medium-Spending Customers
Female,40,60,40,0,Older Medium-Spending Customers
Female,32,60,42,2,Young High-Spending Customers
Male,24,60,52,2,Young High-Spending Customers
Female,47,60,47,0,Older Medium-Spending Customers
Female,27,60,50,2,Young High-Spending Customers
